,Country,Happiness_Difference,Percentage_deaths,Avarage_Happiness
0,Finland,0.012299914999999828,0.07716731744377428,7.823900028333334
1,Denmark,-0.00959984200000008,0.11961098905169322,7.6338666139999996
2,Switzerland,-0.047899807000000294,0.23810403238048108,7.547633268999999
3,Iceland,0.05250008800000039,0.03465561325427124,7.538499970666667
4,Norway,-0.12299991599999949,0.05485665422741067,7.4149999719999995
5,Netherlands,-0.03390022299999984,0.19066020697761088,7.4426334076666665
6,Sweden,0.030500111000000274,0.27159083906588743,7.366833296333334
7,New Zealand,-0.09960012400000018,0.006372558660975945,7.258866708
8,Austria,-0.13119994399999957,0.2963710111536971,7.241733314666667
9,Canada,-0.20710000999999956,0.13893239892185555,7.120033336666666
10,Australia,-0.060799777999999804,0.02674241465672699,7.189266592666666
11,United Kingdom,-0.22150023700000077,0.3618819306493241,7.057166745666667
12,Israel,0.23539987900000003,0.1506440516109429,7.216533373666667
13,Costa Rica,-0.5393998790000003,0.20502093200112917,6.924133293000001
14,Ireland,-0.05269993199999945,0.18280376935997017,7.073233310666667
15,Germany,-0.04179994199999992,0.22077209845481294,7.088266647333334
16,United States,0.03740000900000062,0.3995395731440754,6.955866663666666
17,Belgium,-0.058500118000000434,0.4382618138342746,6.834166706
18,United Arab Emirates,-0.2148000950000002,0.029998786702256735,6.6426000316666665
19,Malta,-0.3257999690000002,0.16707675828398003,6.6072666563333335
20,France,0.02320023700000018,0.3012099690014418,6.680266587666668
21,Mexico,-0.33700015299999997,0.3657860311103417,6.303333384333333
22,Uruguay,0.03389980700000006,0.21083982707909976,6.448366731
23,Saudi Arabia,0.11650013700000006,0.04382449097079621,6.474499954333333
24,Spain,0.07510011300000041,0.33014930784452023,6.455966629
25,Italy,0.07959984999999925,0.391639785460362,6.44580005
26,Singapore,0.10290000900000074,0.022723247553073818,6.411366663666667
27,Brazil,-0.08259986100000027,0.400792420343999,6.332866620333333
28,Slovenia,0.2666000180000001,0.4945255917112621,6.484799993999999
29,El Salvador,-0.22829998000000007,0.08394744473691149,6.176433326666667
30,Kosovo,0.12979991899999987,0.24824971105498866,6.384066693666667
31,Panama,0.004199965999999833,0.28045540339596475,6.264600011333333
32,Slovakia,0.11039992899999973,,6.334200023666668
